"ï»¿""Datasheets""",Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Color,Wavelength - Dominant,Wavelength - Peak,Millicandela Rating,Voltage - Forward (Vf) (Typ),Current - Test,Viewing Angle,Lens Type,Lens Style/Size,Package / Case,Size / Dimension,Height,Mounting Type,STOCK,Brightness,Package,Column4,Column5
http://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTST-C170K%20Series.pdf,"http://media.digikey.com/photos/Lite%20On%20Photos/LTST-C170YKT,LTST-C170CKT,LTST-C170AKT,LTST-C170EKT,LTST-C170GKT.jpg",160-1417-1-ND,LTST-C170KYKT,Lite-On Inc,LED AMBER YELLOW CLEAR 0805 SMD,0,0,Call,0,1,Cut Tape (CT),-,Amber,595nm,598nm,80mcd,2V,20mA,130Â°,Clear,"Rectangle with Flat Top, 1.4mm x 1.25mm",0805 (2012 Metric),2.00mm L x 1.25mm W,1.10mm,Surface Mount,,,,,
-,"http://media.digikey.com/photos/Lite%20On%20Photos/LTST-C170YKT,LTST-C170CKT,LTST-C170AKT,LTST-C170EKT,LTST-C170GKT.jpg",160-1196-1-ND,LTST-C170JRKT,Lite-On Inc,LED SUP RED CLR 0805 SMD,0,0,Call,0,1,Cut Tape (CT),-,Red,631nm,639nm,30mcd,2V,20mA,130Â°,Clear,"Rectangle with Flat Top, 1.4mm x 1.25mm",0805 (2012 Metric),2.00mm L x 1.25mm W,1.10mm,Surface Mount,,,,,
http://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTST-C170AKT.pdf,"http://media.digikey.com/photos/Lite%20On%20Photos/LTST-C170YKT,LTST-C170CKT,LTST-C170AKT,LTST-C170EKT,LTST-C170GKT.jpg",160-1177-1-ND,LTST-C170AKT,Lite-On Inc,LED AMBER CLEAR 0805 SMD,42359,0,0.36,0,1,Cut Tape (CT),-,Orange,602nm,610nm,2mcd,2.1V,10mA,130Â°,Clear,"Rectangle with Flat Top, 1.4mm x 1.25mm",0805 (2012 Metric),2.00mm L x 1.25mm W,1.10mm,Surface Mount,STOCK,dim,,,
http://optoelectronics.liteon.com/upload/download/DS-22-99-0226/S_110_LTST-C170TBKT.pdf,"http://media.digikey.com/photos/Lite%20On%20Photos/LTST-C170TBKT,LTST-C170KAKT,LTST-C170KFKT.jpg",160-1579-1-ND,LTST-C170TBKT,Lite-On Inc,LED BLUE CLEAR 0805 SMD,175225,0,0.39,0,1,Cut Tape (CT),-,Blue,470nm,468nm,104mcd,3.3V,20mA,130Â°,Clear,"Rectangle with Flat Top, 1.4mm x 1.25mm",0805 (2012 Metric),2.00mm L x 1.25mm W,1.10mm,Surface Mount,STOCK,bright,,,
http://optoelectronics.liteon.com/upload/download/DS22-2000-073/S_110_LTST-C170KGKT.pdf,"http://media.digikey.com/photos/Lite%20On%20Photos/LTST-C170KGKT,LTST-C170KRKT,LTST-C170KSKT.jpg",160-1414-1-ND,LTST-C170KGKT,Lite-On Inc,LED GREEN CLEAR 0805 SMD,493272,0,0.39,0,1,Cut Tape (CT),-,Green,571nm,574nm,35mcd,2V,20mA,130Â°,Clear,"Rectangle with Flat Top, 1.4mm x 1.25mm",0805 (2012 Metric),2.00mm L x 1.25mm W,1.10mm,Surface Mount,SPECIAL-ORDER,medium,,,
http://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTST-C170GKT.pdf,"http://media.digikey.com/photos/Lite%20On%20Photos/LTST-C170YKT,LTST-C170CKT,LTST-C170AKT,LTST-C170EKT,LTST-C170GKT.jpg",160-1179-1-ND,LTST-C170GKT,Lite-On Inc,LED GREEN CLEAR 0805 SMD,298119,0,0.34,0,1,Cut Tape (CT),-,Green,569nm,565nm,6mcd,2.1V,10mA,130Â°,Clear,"Rectangle with Flat Top, 1.4mm x 1.25mm",0805 (2012 Metric),2.00mm L x 1.25mm W,1.10mm,Surface Mount,STOCK,dim,,,
http://optoelectronics.liteon.com/upload/download/DS22-2000-025/S_110_LTST-C170TGKT.pdf,"http://media.digikey.com/photos/Lite%20On%20Photos/LTST-C170TBKT,LTST-C170KAKT,LTST-C170KFKT.jpg",160-1887-1-ND,LTST-C170TGKT,Lite-On Inc,LED GREEN CLEAR 0805 SMD,75211,0,0.55,0,1,Cut Tape (CT),-,Green,525nm,530nm,260.5mcd,3.2V,20mA,130Â°,Clear,"Rectangle with Flat Top, 1.4mm x 1.25mm",0805 (2012 Metric),2.00mm L x 1.25mm W,1.10mm,Surface Mount,STOCK,bright,,,
http://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTST-C170CKT.pdf,"http://media.digikey.com/photos/Lite%20On%20Photos/LTST-C170YKT,LTST-C170CKT,LTST-C170AKT,LTST-C170EKT,LTST-C170GKT.jpg",160-1176-1-ND,LTST-C170CKT,Lite-On Inc,LED RED CLEAR 0805 SMD,124828,0,0.39,0,1,Cut Tape (CT),-,Red,638nm,660nm,10mcd,1.8V,10mA,130Â°,Clear,"Rectangle with Flat Top, 1.4mm x 1.25mm",0805 (2012 Metric),2.00mm L x 1.25mm W,1.10mm,Surface Mount,SPECIAL-ORDER,medium,,,
http://media.digikey.com/pdf/Data%20Sheets/Lite-On%20PDFs/LTST-C170EKT.pdf,"http://media.digikey.com/photos/Lite%20On%20Photos/LTST-C170YKT,LTST-C170CKT,LTST-C170AKT,LTST-C170EKT,LTST-C170GKT.jpg",160-1178-1-ND,LTST-C170EKT,Lite-On Inc,LED RED ORANGE CLEAR 0805 SMD,38127,0,0.36,0,1,Cut Tape (CT),-,Red,621nm,630nm,2mcd,2V,10mA,130Â°,Clear,"Rectangle with Flat Top, 1.4mm x 1.25mm",0805 (2012 Metric),2.00mm L x 1.25mm W,1.10mm,Surface Mount,STOCK,dim,,,
http://optoelectronics.liteon.com/upload/download/DS-22-99-0182/S_110_LTST-C170KAKT.pdf,"http://media.digikey.com/photos/Lite%20On%20Photos/LTST-C170TBKT,LTST-C170KAKT,LTST-C170KFKT.jpg",160-1412-1-ND,LTST-C170KAKT,Lite-On Inc,LED RED ORANGE CLEAR 0805 SMD,9088,0,0.5,0,1,Cut Tape (CT),-,Red,615nm,621nm,55mcd,2V,20mA,130Â°,Clear,"Rectangle with Flat Top, 1.4mm x 1.25mm",0805 (2012 Metric),2.00mm L x 1.25mm W,1.10mm,Surface Mount,STOCK,bright,,,
