"ï»¿""Datasheets""",Image,Digi-Key Part Number,Distributer,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Resistance (Ohms),Tolerance,Power (Watts),Composition,Features,Temperature Coefficient,Operating Temperature,Package / Case,Supplier Device Package,Size / Dimension,Height,Number of Terminations,In Adafruit Kit,Common part,Stock Part,5% Rohs Part,1% Rohs Part,STOCK,Package,Column3,Column4,Column5,Column6
http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/RC0805%20Pb%20Free.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CRSM%20PT0805.jpg,311-0.0ARCT-ND,Digikey,RC0805JR-070RL,Yageo,RES SMD 0.0 OHM JUMPER 1/8W 0805,1540178,0,0.1,0,1,Cut Tape (CT),RC0805,0,Jumper,"0.125W, 1/8W",Thick Film,Moisture Resistant,-,-55Â°C ~ 155Â°C,0805 (2012 Metric),805,"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)",2,1,1,1,1,,STOCK,,,,,
http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/RC0805%20Pb%20Free.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CRSM%20PT0805.jpg,311-0.0CRCT-ND,Digikey,RC0805FR-070RL,Yageo,RES SMD 0.0 OHM JUMPER 1/8W 0805,189007,0,0.1,0,1,Cut Tape (CT),RC0805,0,Jumper,"0.125W, 1/8W",Thick Film,Moisture Resistant,-,-55Â°C ~ 155Â°C,0805 (2012 Metric),805,"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)",2,,,,,,,,,,,
http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/RC0805%20Pb%20Free.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CRSM%20PT0805.jpg,YAG1327CT-ND,Digikey,RC0805JR-070RP,Yageo,RES SMD 0.0 OHM JUMPER 1/8W 0805,50000,0,0.1,0,1,Cut Tape (CT),RC0805,0,Jumper,"0.125W, 1/8W",Thick Film,Moisture Resistant,-,-55Â°C ~ 155Â°C,0805 (2012 Metric),0805 (2012 Metric),"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)",2,,,,,,,,,,,
http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/RC0805%20Pb%20Free.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CRSM%20PT0805.jpg,311-1.00KCRCT-ND,Digikey,RC0805FR-071KL,Yageo,RES SMD 1K OHM 1% 1/8W 0805,4829787,0,0.1,0,1,Cut Tape (CT),RC0805,1k,Â±1%,"0.125W, 1/8W",Thick Film,Moisture Resistant,Â±100ppm/Â°C,-55Â°C ~ 155Â°C,0805 (2012 Metric),805,"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)",2,,,,,1,SPECIAL-ORDER,,,,,
http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/RC0805%20Pb%20Free.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CRSM%20PT0805.jpg,311-100KCRCT-ND,Digikey,RC0805FR-07100KL,Yageo,RES SMD 100K OHM 1% 1/8W 0805,3069706,0,0.1,0,1,Cut Tape (CT),RC0805,100k,Â±1%,"0.125W, 1/8W",Thick Film,Moisture Resistant,Â±100ppm/Â°C,-55Â°C ~ 155Â°C,0805 (2012 Metric),805,"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)",2,,,,,1,SPECIAL-ORDER,,,,,
http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/RC0805%20Pb%20Free.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CRSM%20PT0805.jpg,311-100CRCT-ND,Digikey,RC0805FR-07100RL,Yageo,RES SMD 100 OHM 1% 1/8W 0805,2210606,0,0.1,0,1,Cut Tape (CT),RC0805,100,Â±1%,"0.125W, 1/8W",Thick Film,Moisture Resistant,Â±100ppm/Â°C,-55Â°C ~ 155Â°C,0805 (2012 Metric),805,"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)",2,,,,,1,SPECIAL-ORDER,,,,,
http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/RC0805%20Pb%20Free.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CRSM%20PT0805.jpg,311-10.0KCRCT-ND,Digikey,RC0805FR-0710KL,Yageo,RES SMD 10K OHM 1% 1/8W 0805,1072156,0,0.1,0,1,Cut Tape (CT),RC0805,10k,Â±1%,"0.125W, 1/8W",Thick Film,Moisture Resistant,Â±100ppm/Â°C,-55Â°C ~ 155Â°C,0805 (2012 Metric),805,"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)",2,,,,,1,SPECIAL-ORDER,,,,,
http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/RC0805%20Pb%20Free.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CRSM%20PT0805.jpg,311-4.70KCRCT-ND,Digikey,RC0805FR-074K7L,Yageo,RES SMD 4.7K OHM 1% 1/8W 0805,1029605,0,0.1,0,1,Cut Tape (CT),RC0805,4.7k,Â±1%,"0.125W, 1/8W",Thick Film,Moisture Resistant,Â±100ppm/Â°C,-55Â°C ~ 155Â°C,0805 (2012 Metric),805,"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)",2,,,,,1,SPECIAL-ORDER,,,,,
http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/RC0805%20Pb%20Free.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CRSM%20PT0805.jpg,311-1.00MCRCT-ND,Digikey,RC0805FR-071ML,Yageo,RES SMD 1M OHM 1% 1/8W 0805,896856,0,0.1,0,1,Cut Tape (CT),RC0805,1M,Â±1%,"0.125W, 1/8W",Thick Film,Moisture Resistant,Â±100ppm/Â°C,-55Â°C ~ 155Â°C,0805 (2012 Metric),805,"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)",2,,,,,1,SPECIAL-ORDER,,,,,
http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/RC0805%20Pb%20Free.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CRSM%20PT0805.jpg,311-10.0CRCT-ND,Digikey,RC0805FR-0710RL,Yageo,RES SMD 10 OHM 1% 1/8W 0805,827165,0,0.1,0,1,Cut Tape (CT),RC0805,10,Â±1%,"0.125W, 1/8W",Thick Film,Moisture Resistant,Â±200ppm/Â°C,-55Â°C ~ 155Â°C,0805 (2012 Metric),805,"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)",2,,,,,1,SPECIAL-ORDER,,,,,
