"•ÈÀ""Datasheets""",Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Capacitance,Tolerance,Voltage - Rated,ESR (Equivalent Series Resistance),Type,Operating Temperature,Mounting Type,Package / Case,Size / Dimension,Height - Seated (Max),Lead Spacing,Manufacturer Size Code,Features,STOCK,Package,Column3,Column4
http://www.avx.com/docs/Catalogs/tajlp.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAJ,TLJ%20SERIES%202.05L,1.3W.jpg",478-8927-1-ND,TAJR105K020RNJ,AVX Corporation,CAP TANT 1UF 20V 10% 0805,4261,0,0.59,0,1,Cut Tape (CT),TAJ,1.0åµF,å±10%,20V,25 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.081"" L x 0.051"" W (2.05mm x 1.30mm)","0.047"" (1.20mm)",-,R,General Purpose,SPECIAL-ORDER,,,
http://www.avx.com/docs/Catalogs/tajlp.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAJ,TLJ%20SERIES%202.05L,1.3W.jpg",478-8928-1-ND,TAJR105K025RNJ,AVX Corporation,CAP TANT 1UF 25V 10% 0805,3855,0,0.71,0,1,Cut Tape (CT),TAJ,1.0åµF,å±10%,25V,8 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.081"" L x 0.051"" W (2.05mm x 1.30mm)","0.047"" (1.20mm)",-,R,General Purpose,STOCK,,,
http://www.avx.com/docs/Catalogs/tajlp.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAJ,TLJ%20SERIES%202.05L,1.3W.jpg",478-3962-1-ND,TAJR105K016RNJ,AVX Corporation,CAP TANT 1UF 16V 10% 0805,8654,0,1.1,0,1,Cut Tape (CT),TAJ,1.0åµF,å±10%,16V,20 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.081"" L x 0.051"" W (2.05mm x 1.30mm)","0.047"" (1.20mm)",-,R,General Purpose,SPECIAL-ORDER,,,
http://www.avx.com/docs/Catalogs/tajlp.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAJ,TLJ%20SERIES%202.05L,1.3W.jpg",478-3278-1-ND,TAJR105K010RNJ,AVX Corporation,CAP TANT 1UF 10V 10% 0805,66045,0,1.11,0,1,Cut Tape (CT),TAJ,1.0åµF,å±10%,10V,25 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.081"" L x 0.051"" W (2.05mm x 1.30mm)","0.047"" (1.20mm)",-,R,General Purpose,SPECIAL-ORDER,,,
http://www.avx.com/docs/Catalogs/tpc.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAC,TLC%20SERIES%202.0-2.5L,1.35W.jpg",478-9013-1-ND,TPCR106K010R1800,AVX Corporation,CAP TANT 10UF 10V 10% 0805,4280,0,3.89,0,1,Cut Tape (CT),TACmicrochipå¨ TPC,10åµF,å±10%,10V,1.8 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.079"" L x 0.053"" W (2.00mm x 1.35mm)","0.059"" (1.50mm)",-,R,General Purpose,SPECIAL-ORDER,,,
http://www.avx.com/docs/Catalogs/tpc.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAC,TLC%20SERIES%202.0-2.5L,1.35W.jpg",478-5690-1-ND,TPCH106K010R2500,AVX Corporation,CAP TANT 10UF 10V 10% 0805,6139,0,4.97,0,1,Cut Tape (CT),TACmicrochipå¨ TPC,10åµF,å±10%,10V,2.5 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.079"" L x 0.053"" W (2.00mm x 1.35mm)","0.039"" (1.00mm)",-,H,General Purpose,SPECIAL-ORDER,,,
http://www.avx.com/docs/Catalogs/tac.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAC,TLC%20SERIES%202.0-2.5L,1.35W.jpg",478-5224-1-ND,TACR106K010RTA,AVX Corporation,CAP TANT 10UF 10V 10% 0805,6602,0,3.49,0,1,Cut Tape (CT),TACmicrochipå¨ TAC,10åµF,å±10%,10V,5 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.079"" L x 0.053"" W (2.00mm x 1.35mm)","0.059"" (1.50mm)",-,R,General Purpose,SPECIAL-ORDER,,,
http://www.avx.com/docs/Catalogs/tac.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAC,TLC%20SERIES%202.0-2.5L,1.35W.jpg",478-4186-1-ND,TACR106K010XTA,AVX Corporation,CAP TANT 10UF 10V 10% 0805,1475,0,3.49,0,1,Cut Tape (CT),TACmicrochipå¨ TAC,10åµF,å±10%,10V,5 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.079"" L x 0.053"" W (2.00mm x 1.35mm)","0.059"" (1.50mm)",-,R,General Purpose,SPECIAL-ORDER,,,
http://www.avx.com/docs/Catalogs/tpc.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAC,TLC%20SERIES%202.0-2.5L,1.35W.jpg",478-7577-1-ND,TPCR106K016F1800,AVX Corporation,CAP TANT 10UF 16V 10% 0805,1257,0,4.22,0,1,Cut Tape (CT),TACmicrochipå¨ TPC,10åµF,å±10%,16V,1.8 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.079"" L x 0.053"" W (2.00mm x 1.35mm)","0.059"" (1.50mm)",-,R,General Purpose,STOCK,,,
http://www.avx.com/docs/Catalogs/tpc.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAC,TLC%20SERIES%202.0-2.5L,1.35W.jpg",478-9014-1-ND,TPCR106K016R1800,AVX Corporation,CAP TANT 10UF 16V 10% 0805,1026,0,3.89,0,1,Cut Tape (CT),TACmicrochipå¨ TPC,10åµF,å±10%,16V,1.8 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.079"" L x 0.053"" W (2.00mm x 1.35mm)","0.059"" (1.50mm)",-,R,General Purpose,SPECIAL-ORDER,,,
http://www.avx.com/docs/Catalogs/tac.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAC,TLC%20SERIES%202.0-2.5L,1.35W.jpg",478-8870-1-ND,TACR106K016RTA,AVX Corporation,CAP TANT 10UF 16V 10% 0805,6273,0,3.07,0,1,Cut Tape (CT),TACmicrochipå¨,10åµF,å±10%,16V,5 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.079"" L x 0.053"" W (2.00mm x 1.35mm)","0.059"" (1.50mm)",-,R,General Purpose,SPECIAL-ORDER,,,
http://www.avx.com/docs/Catalogs/tac.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAC,TLC%20SERIES%202.0-2.5L,1.35W.jpg",478-8871-1-ND,TACR106K016XTA,AVX Corporation,CAP TANT 10UF 16V 10% 0805,161,0,3.49,0,1,Cut Tape (CT),TACmicrochipå¨,10åµF,å±10%,16V,5 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.079"" L x 0.053"" W (2.00mm x 1.35mm)","0.059"" (1.50mm)",-,R,General Purpose,SPECIAL-ORDER,,,
http://www.avx.com/docs/Catalogs/tac.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAC,TLC%20SERIES%202.0-2.5L,1.35W.jpg",478-4185-1-ND,TACR106K006XTA,AVX Corporation,CAP TANT 10UF 6.3V 10% 0805,823,0,3.49,0,1,Cut Tape (CT),TACmicrochipå¨ TAC,10åµF,å±10%,6.3V,5 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.079"" L x 0.053"" W (2.00mm x 1.35mm)","0.059"" (1.50mm)",-,R,General Purpose,SPECIAL-ORDER,,,
http://www.avx.com/docs/Catalogs/tajlp.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAJ,TLJ%20SERIES%202.05L,1.3W.jpg",478-3273-1-ND,TAJR106K006RNJ,AVX Corporation,CAP TANT 10UF 6.3V 10% 0805,11179,0,1.11,0,1,Cut Tape (CT),TAJ,10åµF,å±10%,6.3V,6 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.081"" L x 0.051"" W (2.05mm x 1.30mm)","0.047"" (1.20mm)",-,R,General Purpose,SPECIAL-ORDER,,,
http://www.avx.com/docs/Catalogs/tac.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAC,TLC%20SERIES%202.0-2.5L,1.35W.jpg",478-4187-1-ND,TACR156K010XTA,AVX Corporation,CAP TANT 15UF 10V 10% 0805,6946,0,3.49,0,1,Cut Tape (CT),TACmicrochipå¨ TAC,15åµF,å±10%,10V,5 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.079"" L x 0.053"" W (2.00mm x 1.35mm)","0.059"" (1.50mm)",-,R,General Purpose,STOCK,,,
http://www.avx.com/docs/Catalogs/tajlp.pdf,http://media.digikey.com/Renders/AVX%20Renders/NLJ%20Series;%20P.jpg,478-3274-1-ND,TAJP156K006RNJ,AVX Corporation,CAP TANT 15UF 6.3V 10% 0805,10415,0,1.22,0,1,Cut Tape (CT),TAJ,15åµF,å±10%,6.3V,3.5 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.081"" L x 0.053"" W (2.05mm x 1.35mm)","0.059"" (1.50mm)",-,P,General Purpose,SPECIAL-ORDER,,,
http://www.avx.com/docs/Catalogs/tajlp.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAJ,TLJ%20SERIES%202.05L,1.3W.jpg",478-4693-1-ND,TAJR225K020RNJ,AVX Corporation,CAP TANT 2.2UF 20V 10% 0805,10457,0,1.24,0,1,Cut Tape (CT),TAJ,2.2åµF,å±10%,20V,6 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.081"" L x 0.051"" W (2.05mm x 1.30mm)","0.047"" (1.20mm)",-,R,General Purpose,STOCK,,,
